"co2_Siktaur Bazar,Maniram",co2_1212170009
pm25_Ramadiha,pm25_1201180079
pm10_Ramadiha,pm10_1201180079
aqi_Ramadiha,aqi_1201180079
co2_Ramadiha,co2_1201180079
"pm25_Adarsh Nagar, Mahmoorganj",pm25_1211170146
"pm10_Adarsh Nagar, Mahmoorganj",pm10_1211170146
"aqi_Adarsh Nagar, Mahmoorganj",aqi_1211170146
"co2_Adarsh Nagar, Mahmoorganj",co2_1211170146
pm25_Neb Sarai,pm25_1211170149
pm10_Neb Sarai,pm10_1211170149
aqi_Neb Sarai,aqi_1211170149
co2_Neb Sarai,co2_1211170149
pm25_TP Nagar Road,pm25_1201180030
pm10_TP Nagar Road,pm10_1201180030
aqi_TP Nagar Road,aqi_1201180030
co2_TP Nagar Road,co2_1201180030
pm25_Nandan Kutir Balipur,pm25_1211170147
pm10_Nandan Kutir Balipur,pm10_1211170147
aqi_Nandan Kutir Balipur,aqi_1211170147
co2_Nandan Kutir Balipur,co2_1211170147
pm25_Varanasi Cantt,pm25_1211170148
pm10_Varanasi Cantt,pm10_1211170148
aqi_Varanasi Cantt,aqi_1211170148
co2_Varanasi Cantt,co2_1211170148
average_pm25,average_pm25
average_pm10,average_pm10
average_aqi,average_aqi
pm25_1201180004,pm25_1201180004
pm10_1201180004,pm10_1201180004
aqi_1201180004,aqi_1201180004
co2_1201180004,co2_1201180004
pm25_Durpa Road,Pm25_1201180074
pm10_Durpa Road,Pm10_1201180074
aqi_Durpa Road,Aqi_1201180074
co2_Durpa Road,Co2_1201180074
pm25_1201180141,pm25_1201180141
pm10_1201180141,pm10_1201180141
aqi_1201180141,aqi_1201180141
co2_1201180141,co2_1201180141
pm25_1211170021,pm25_1211170021
pm10_1211170021,pm10_1211170021
aqi_1211170021,aqi_1211170021
co2_1211170021,co2_1211170021
pm25_1212170014,pm25_1212170014
pm10_1212170014,pm10_1212170014
aqi_1212170014,aqi_1212170014
co2_1212170014,co2_1212170014
pm25_1201180164,pm25_1201180164
pm10_1201180164,pm10_1201180164
aqi_1201180164,aqi_1201180164
co2_1201180164,co2_1201180164
