created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2017-11-20 01:46:58 UTC,1408,24.30,61.10, 710,1648,2402,85.005783,23.651857,4098
2017-11-20 01:48:33 UTC,1409,24.20,61.20,654.4,1396,2016,"
 CIPGSMLOC: 0",85.005783,4098
2017-11-20 01:50:03 UTC,1410,24.20,61.20,668.8,1516,2022,85.005783,23.651857,4092
2017-11-20 01:51:37 UTC,1411,24.20,61.30,676.6,1526,1980,85.005783,23.651857,4092
2017-11-20 01:53:07 UTC,1412,24.10,61.40,694.4,1272,1752,85.005783,23.651857,4092
2017-11-20 01:54:37 UTC,1413,24.10,61.50,672.2,1390,1808,85.005783,23.651857,4032
2017-11-20 01:56:10 UTC,1414,24.10,61.60,664.4,1420,2036,85.005783,23.651857,4092
2017-11-20 01:57:40 UTC,1415,24.10,61.80,572.2,1364,1734,85.005783,23.651857,4087
2017-11-20 01:59:10 UTC,1416,24.00,61.90,598.8,1240,1644,85.005783,23.651857,4081
2017-11-20 02:00:40 UTC,1417,24.00,62.00,722.2,1298,1826,85.005783,23.651857,4038
2017-11-20 02:02:16 UTC,1418,24.00,62.10,662.2,1282,1612,85.005783,23.651857,4087
2017-11-20 02:05:19 UTC,1419,23.90,62.30,622.2,1202,1578,85.005783,23.651857,4081
2017-11-20 02:06:46 UTC,1420,23.90,62.30,658.8,1278,1594,85.005783,23.651857,4081
2017-11-20 02:09:45 UTC,1421,23.80,62.50, 650,1236,1552,85.005783,23.651857,4076
2017-11-20 02:11:16 UTC,1422,23.80,62.50, 690,1202,1484,85.005783,23.651857,4070
2017-11-20 02:12:47 UTC,1423,23.80,62.70,624.4,1194,1488,85.005783,23.651857,4076
2017-11-20 02:14:17 UTC,1424,23.80,62.80,584.4,1226,1670,85.005783,23.651857,4065
2017-11-20 02:15:48 UTC,1425,23.70,62.90,628.8,1186,1416,85.005783,23.651857,4016
2017-11-20 02:17:18 UTC,1426,23.70,63.10,608.8,1058,1140,85.005783,23.651857,4076
2017-11-20 02:20:18 UTC,1427,23.70,63.50,576.6,986.6,1208,85.005783,23.651857,4076
2017-11-20 02:21:49 UTC,1428,23.70,63.50, 620,1044,1224,85.005783,23.651857,4043
2017-11-20 02:23:19 UTC,1429,23.70,63.70,622.2,1080,1354,85.005783,23.651857,4065
2017-11-20 02:26:22 UTC,1430,23.70,63.90,592.2,1022,1326,85.005783,23.651857,4070
2017-11-20 02:30:57 UTC,1431,23.70,64.00,654.4,1076,1362,85.005783,23.651857,4070
2017-11-20 02:32:28 UTC,1432,23.60,64.10,572.2,998.8,1230,85.005783,23.651857,4065
2017-11-20 02:33:58 UTC,1433,23.60,64.10,564.4,956.6,1206,85.005783,23.651857,4027
2017-11-20 02:35:28 UTC,1434,23.70,64.30, 610,1096,1450,85.005783,23.651857,4059
2017-11-20 02:36:58 UTC,1435,23.60,64.30,598.8,1062,1250,85.005783,23.651857,4065
2017-11-20 02:38:28 UTC,1436,23.60,64.40,578.8,1042,1334,85.005783,23.651857,4054
2017-11-20 02:39:58 UTC,1437,23.60,64.40,616.6,1118,1394,85.005783,23.651857,4043
2017-11-20 02:41:27 UTC,1438,23.60,64.50,574.4,1020,1204,85.005783,23.651857,4016
2017-11-20 02:43:01 UTC,1439,23.60,64.60,632.2,1062,1418,85.005783,23.651857,4065
2017-11-20 02:44:28 UTC,1440,23.60,64.60,604.4,1094,1398,85.005783,23.651857,4059
2017-11-20 02:45:58 UTC,1441,23.60,64.60,588.8,1078,1378,85.005783,23.651857,4027
2017-11-20 02:47:28 UTC,1442,23.60,64.70,668.8,1142,1456,85.005783,23.651857,4059
2017-11-20 02:48:59 UTC,1443,23.60,64.90, 570,1156,1492,85.005783,23.651857,4059
2017-11-20 02:50:30 UTC,1444,23.60,65.00, 620,1220,1552,85.005783,23.651857,4038
2017-11-20 02:52:00 UTC,1445,23.60,65.10,568.8,1056,1380,85.005783,23.651857,4054
2017-11-20 02:53:32 UTC,1446,23.60,65.20,616.6,1132,1358,85.005783,23.651857,4054
2017-11-20 02:58:09 UTC,1447,23.70,65.40,672.2,1346,1692,85.005783,23.651857,4054
2017-11-20 02:59:39 UTC,1448,23.60,65.40, 620,1204,1530,85.005783,23.651857,4010
2017-11-20 04:55:35 UTC,1449,22.80,76.00,96.6,146.6,152.2,85.005783,23.651857,4054
2017-11-20 04:57:05 UTC,1450,23.00,75.90, 110,136.6,136.6,85.005783,23.651857,4054
2017-11-20 04:58:37 UTC,1451,23.10,75.90,  90, 120,158.8,85.005783,23.651857,4049
2017-11-20 05:00:10 UTC,1452,23.30,75.60,104.4,166.6,214.4,85.005783,23.651857,4049
2017-11-20 05:01:56 UTC,1453,23.40,75.20,76.6,132.2,138.8,"","",4049
2017-11-20 05:03:30 UTC,1454,23.60,74.40,134.4,198.8,206.6,85.005783,23.651857,4043
2017-11-20 05:05:07 UTC,1455,23.70,72.90,128.8,182.2,202.2,85.005783,23.651857,4032
2017-11-20 05:06:43 UTC,1456,23.90,72.70, 120, 180,186.6,85.005783,23.651857,4049
2017-11-20 05:11:21 UTC,1457,24.20,71.30,98.8,132.2,132.2,85.005783,23.651857,4010
2017-11-20 05:12:53 UTC,1458,24.30,70.90, 100, 160,182.2,85.005783,23.651857,4043
2017-11-20 11:34:41 UTC,1459,28.70,56.50,384.4,606.6,732.2,"
 CIPGSMLOC: 0",85.005783,3911
2017-11-20 11:38:07 UTC,1460,28.80,56.10,452.2,664.4,768.8,"
 CIPGSMLOC: 0",85.005783,3906
2017-11-20 11:41:19 UTC,1461,28.90,55.60,592.2,1640,2876,85.005783,23.651857,3889
2017-11-20 11:53:52 UTC,1462,28.90,55.50,554.4,1448,2268,85.005585,23.657623,3895
2017-11-20 11:55:20 UTC,1463,28.90,55.50,584.4,1276,1928,85.005585,23.657623,3900
2017-11-20 11:59:54 UTC,1464,28.90,55.50,658.8,1182,1626,85.005585,23.657623,3895
2017-11-20 12:01:25 UTC,1465,28.90,55.50,674.4,1152,1464,85.005585,23.657623,3889
2017-11-20 12:02:58 UTC,1466,28.80,55.50,596.6,1168,1490,85.005585,23.657623,3889
2017-11-20 12:04:30 UTC,1467,28.80,55.50, 660,1322,1764,85.005585,23.657623,3895
2017-11-20 12:06:01 UTC,1468,28.90,55.40,662.2,1284,1714,85.005585,23.657623,3807
2017-11-20 12:07:32 UTC,1469,28.90,55.40,664.4,1228,1562,85.005585,23.657623,3895
2017-11-20 12:09:17 UTC,1470,28.80,55.30,656.6,1184,1610,"","",3889
2017-11-20 12:10:50 UTC,1471,28.80,55.30,662.2,1230,1500,85.005585,23.657623,3889
2017-11-20 12:12:22 UTC,1472,28.80,55.20,604.4,1144,1588,85.005585,23.657623,3873
2017-11-20 12:15:32 UTC,1473,28.70,55.30,682.2,1166,1406,"","",3884
2017-11-20 12:20:23 UTC,1474,28.60,55.30,614.4,1068,1266,85.005585,23.657623,3889
2017-11-20 12:21:56 UTC,1475,28.60,55.30,632.2,1088,1358,85.005585,23.657623,3884
2017-11-20 12:29:48 UTC,1476,28.50,55.70,514.4,808.8,1020,85.005585,23.657623,3862
2017-11-20 12:31:18 UTC,1477,28.50,55.80, 540, 800, 930,85.005585,23.657623,3856
2017-11-20 12:37:37 UTC,1478,28.40,55.70, 520,798.8,938.8,85.005585,23.657623,3878
2017-11-20 12:43:52 UTC,1479,28.20,55.70,524.4,918.8,1104,85.005585,23.657623,3840
2017-11-20 12:45:23 UTC,1480,28.20,55.70,564.4, 960,1264,85.005585,23.657623,3878
2017-11-20 12:46:55 UTC,1481,28.20,55.70,584.4,986.6,1128,85.005585,23.657623,3846
2017-11-20 12:48:26 UTC,1482,28.10,55.80,628.8,1126,1258,85.005585,23.657623,3818
2017-11-20 12:49:58 UTC,1483,28.10,55.80, 530,926.6,1166,85.005585,23.657623,3851
2017-11-20 12:53:07 UTC,1484,27.90,55.90,582.2,1004,1230,"
 CIPGSMLOC: 0",85.005585,3856
2017-11-20 12:57:54 UTC,1485,27.80,56.30,448.8, 740,932.2,"","",3802
2017-11-20 12:59:25 UTC,1486,27.70,56.40,448.8,734.4, 930,85.005585,23.657623,3873
2017-11-20 13:00:56 UTC,1487,27.70,56.50,462.2,724.4,948.8,85.005585,23.657623,3873
2017-11-20 13:03:59 UTC,1488,27.60,56.60,496.6, 820,1076,85.005585,23.657623,3867
2017-11-20 13:05:31 UTC,1489,27.60,56.70,526.6, 790,1060,85.005585,23.657623,3867
2017-11-20 13:11:47 UTC,1490,27.60,57.10,418.8,616.6,734.4,85.005585,23.657623,3867
2017-11-20 13:15:07 UTC,1491,27.50,57.30,444.4,706.6, 820,85.005585,23.657623,3862
2017-11-20 13:21:52 UTC,1492,27.50,57.30,378.8,546.6,606.6,85.005585,23.657623,3856
2017-11-20 13:23:24 UTC,1493,27.50,57.30,398.8,592.2, 610,85.005585,23.657623,3862
2017-11-20 13:24:57 UTC,1494,27.50,57.20,384.4,608.8,652.2,85.005585,23.657623,3862
2017-11-20 13:29:57 UTC,1495,27.50,57.30,424.4,598.8,732.2,85.005585,23.657623,3856
2017-11-20 13:31:28 UTC,1496,27.40,57.40, 420,704.4,894.4,85.005585,23.657623,3856
2017-11-20 13:34:34 UTC,1497,27.50,57.50,472.2,814.4,1078,"
 CIPGSMLOC: 0",85.005585,3856
2017-11-20 13:44:23 UTC,1498,27.40,57.50,296.6,436.6,472.2,85.005585,23.657623,3851
2017-11-20 13:45:58 UTC,1499,27.40,57.60,348.8,494.4,538.8,85.005585,23.657623,3851
2017-11-20 13:56:11 UTC,1500,27.30,57.50,502.2,772.2,986.6,85.005585,23.657623,3840
2017-11-20 14:00:59 UTC,1501,27.30,57.60,472.2,718.8,848.8,"
 CIPGSMLOC: 0",85.005585,3846
2017-11-20 14:02:35 UTC,1502,27.20,57.70,474.4,648.8, 770,85.005585,23.657623,3818
2017-11-20 14:10:46 UTC,1503,27.00,57.10,242.2,318.8,318.8,85.005585,23.657623,3813
2017-11-20 14:18:44 UTC,1504,26.80,56.80,152.2,222.2,228.8,85.005585,23.657623,3840
2017-11-20 14:21:54 UTC,1505,26.80,56.90,158.8, 210,276.6,85.005585,23.657623,3829
2017-11-20 14:23:26 UTC,1506,26.70,57.00,184.4,264.4,302.2,85.005585,23.657623,3835
2017-11-20 14:29:36 UTC,1507,26.60,57.20, 150,206.6,284.4,85.005585,23.657623,3835


