created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2017-08-16 02:40:28 UTC,1892,31.40,59.70,42.2,58.8,58.8,77.202721,28.509031,4120
2017-08-16 02:42:06 UTC,1893,31.40,59.70,46.6,54.4,54.4,"","",4010
2017-08-16 02:43:38 UTC,1894,31.40,59.70,42.2,48.8,62.2,77.202721,28.509031,4016
2017-08-16 02:45:21 UTC,1895,31.40,59.70,38.8,48.8,48.8,"","",4010
2017-08-16 02:48:51 UTC,1896,31.50,59.60,32.2,44.4,44.4,"
 CIPGSMLOC: 0",77.202721,4016
2017-09-07 00:26:38 UTC,1897,29.60,72.10,58.8,  70,  80,77.202583,28.508974,4120
2017-09-07 00:44:23 UTC,1898,30.20,69.50,46.6,58.8,58.8,"","",3994
2017-09-07 01:01:30 UTC,1899,30.20,69.20,34.4,42.2,48.8,77.202583,28.508974,4005
2017-09-07 01:03:18 UTC,1900,30.20,69.10,44.4,  60,72.2,77.202583,28.508974,4010
2017-09-07 01:04:58 UTC,1901,30.20,69.10,  30,  50,62.2,"","",4010
2017-09-07 01:08:26 UTC,1902,30.00,69.10,44.4,48.8,48.8,"","",4010
2017-09-07 01:10:10 UTC,1903,30.00,69.00,48.8,54.4,54.4,77.202583,28.508974,4010
2017-09-07 01:29:13 UTC,1904,30.40,68.50,142.2,212.2,218.8,77.201324,28.509821,4005
2017-10-07 03:25:02 UTC,1905,30.80,49.20, 270,314.4,324.4,"","",4005
2017-10-07 03:26:51 UTC,1906,30.80,49.30,276.6, 390, 420,"
 CIPGSMLOC: 0",77.200386,3999
2017-10-14 08:14:49 UTC,1907,30.80,46.00, 170,208.8,242.2,77.200378,28.508123,3999
2017-10-14 08:26:28 UTC,1908,31.30,43.80, 150,208.8,214.4,77.200378,28.508123,3994
2017-10-14 08:28:00 UTC,1909,31.30,44.00, 140,214.4,224.4,77.200378,28.508123,3999
2017-10-14 08:29:31 UTC,1910,31.40,43.50,166.6,234.4, 240,77.200378,28.508123,3999
2017-10-14 08:39:20 UTC,1911,31.30,45.10,152.2,194.4,248.8,77.200378,28.508123,3999
2017-10-14 08:40:50 UTC,1912,31.30,45.00,122.2,158.8,222.2,77.200378,28.508123,3999
2017-10-14 08:42:22 UTC,1913,31.40,44.90,136.6, 170,178.8,77.200378,28.508123,3988
2017-10-14 08:45:25 UTC,1914,31.40,44.60, 150,196.6,202.2,77.200378,28.508123,3983
2017-10-14 08:46:56 UTC,1915,31.50,44.50,128.8,164.4,202.2,77.200378,28.508123,3977
2017-10-14 08:48:27 UTC,1916,31.40,44.60,154.4,216.6, 250,77.200378,28.508123,3977
2017-10-14 08:49:58 UTC,1917,31.40,44.60,138.8,202.2,202.2,77.200378,28.508123,3977
2017-10-14 08:51:32 UTC,1918,31.30,44.70,146.6,194.4,228.8,77.200378,28.508123,3961
2017-10-14 08:54:55 UTC,1919,31.20,44.90, 160,198.8,206.6,"
 CIPGSMLOC: 0",77.200378,3966
2017-10-14 08:56:28 UTC,1920,31.20,45.10, 120, 170, 170,77.200378,28.508123,3955
2017-10-14 08:59:49 UTC,1921,31.20,44.70,122.2, 160,188.8,"
 CIPGSMLOC: 0",77.200378,3961
2017-10-14 09:04:42 UTC,1922,31.70,38.10,104.4,152.2,192.2,77.200378,28.508123,3955
2017-10-14 09:07:47 UTC,1923,31.80,36.40,124.4, 150, 150,77.200378,28.508123,3955
2017-10-14 09:09:19 UTC,1924,31.80,36.20,122.2,158.8,166.6,77.200378,28.508123,3950
2017-10-14 09:10:50 UTC,1925,31.80,35.80,112.2,158.8,176.6,77.200378,28.508123,3884
2017-10-14 09:12:23 UTC,1926,31.60,36.60, 120,166.6,166.6,77.200378,28.508123,3944
2017-10-14 09:15:40 UTC,1927,31.40,40.10,132.2,174.4, 180,77.200378,28.508123,3944
2017-10-14 09:17:14 UTC,1928,31.40,39.70,108.8,134.4,154.4,77.200378,28.508123,3944
2017-10-14 09:18:48 UTC,1929,31.60,37.30,134.4,184.4,196.6,77.200378,28.508123,3944
2017-10-14 09:20:20 UTC,1930,31.50,39.70,84.4,116.6,138.8,77.200378,28.508123,3944
2017-10-14 09:30:11 UTC,1931,31.40,35.10,112.2, 140,146.6,77.200378,28.508123,3933
2017-10-14 09:33:19 UTC,1932,31.30,37.60,122.2,158.8, 180,77.200378,28.508123,3933
2017-10-14 09:34:54 UTC,1933,31.30,38.90,118.8,138.8,138.8,77.200378,28.508123,3928
2017-10-14 09:36:30 UTC,1934,31.20,39.50,128.8, 170,186.6,77.200378,28.508123,3928
