created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2017-11-19 06:24:36 UTC,1287,24.50,40.50,156.6, 210,268.8,"","","4065

OK
"
2017-11-19 06:25:36 UTC,1288,24.50,40.50,166.6,218.8, 240,"","","4065

OK
"
2017-11-19 06:26:36 UTC,1289,24.60,40.60,174.4,244.4,258.8,"","","4065

OK
"
2017-11-19 06:27:36 UTC,1290,24.60,40.60,178.8,254.4,328.8,"","","4065

OK
"
2017-11-19 06:28:36 UTC,1291,24.60,40.60,184.4,256.6,292.2,"","","4158

OK
"
2017-11-19 06:29:36 UTC,1292,24.60,40.60,142.2,252.2,266.6,"","","4070

OK
"
2017-11-19 06:30:36 UTC,1293,24.60,40.60,154.4,226.6,262.2,"","","4065

OK
"
2017-11-19 06:31:36 UTC,1294,24.60,40.50,158.8,242.2,242.2,"","","4065

OK
"
2017-11-19 06:32:36 UTC,1295,24.60,40.50,164.4,264.4, 320,"","","4065

OK
"
2017-11-19 06:33:36 UTC,1296,24.60,40.50,166.6,198.8,214.4,"","","4065

OK
"
2017-11-19 06:34:36 UTC,1297,24.50,40.40,186.6,264.4, 300,"","","4065

OK
"
2017-11-19 06:35:36 UTC,1298,24.60,40.40, 170,228.8,228.8,"","","4059

OK
"
2017-11-19 06:36:36 UTC,1299,24.60,40.30,182.2,266.6,392.2,"","","4065

OK
"
2017-11-19 06:37:36 UTC,1300,24.50,40.30,176.6,244.4,258.8,"","","4065

OK
"
2017-11-19 06:38:36 UTC,1301,24.60,40.30,174.4,236.6,282.2,"","","4065

OK
"
2017-11-19 06:39:37 UTC,1302,24.60,40.20, 160,214.4,262.2,"","","4158

OK
"
2017-11-19 06:40:37 UTC,1303,24.50,40.20,158.8,238.8,278.8,"","","4158

OK
"
2017-11-19 06:41:37 UTC,1304,24.60,40.20,148.8,218.8, 320,"","","4065

OK
"
2017-11-19 06:42:37 UTC,1305,24.60,40.20,172.2,234.4,278.8,"","","4065

OK
"
2017-11-19 06:43:37 UTC,1306,24.60,40.20,208.8,278.8,314.4,"","","4158

OK
"
2017-11-19 06:44:37 UTC,1307,24.60,40.20,218.8,304.4, 340,"","","4065

OK
"
