created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2017-11-13 11:58:47 UTC,1,22.60,35.80,46.6,62.2,68.8,82.724205,22.367220,4120
2017-11-13 12:05:54 UTC,2,24.40,34.80,42.2,58.8,64.4,"","",4114
2017-11-13 16:17:23 UTC,3,27.20,12.10,  70,94.4, 110,"","",4059
2017-11-13 16:33:11 UTC,4,26.70,11.50,68.8,88.8,94.4,82.724205,22.367220,4059
2017-11-13 16:47:11 UTC,5,27.50,11.00,  90,118.8,132.2,82.724205,22.367220,4059
2017-11-13 16:52:08 UTC,6,28.10,11.00,84.4,116.6,158.8,82.724205,22.367220,4059
2017-11-13 16:53:36 UTC,7,28.10,11.10,  90,132.2,152.2,82.724205,22.367220,4065
2017-11-13 17:05:30 UTC,8,27.80,10.00,88.8, 140, 160,82.724205,22.367220,4065
2017-11-13 17:08:50 UTC,9,28.00,10.20,84.4, 110,142.2,"","",4059
2017-11-13 17:13:37 UTC,10,27.90,10.20,98.8, 160,172.2,82.724205,22.367220,4059
2017-11-13 17:15:13 UTC,11,28.00,10.00,  90,112.2,118.8,"","",4059
2017-11-13 17:18:33 UTC,12,27.70,9.80,72.2,94.4,108.8,"","",4059
2017-11-13 17:28:14 UTC,13,27.80,9.70,84.4, 110,138.8,82.724205,22.367220,4065
2017-11-13 17:30:01 UTC,14,27.30,9.60,72.2,  90,118.8,"","",4065
2017-11-13 17:31:31 UTC,15,27.70,9.50,96.6,142.2,158.8,82.724205,22.367220,4065
2017-11-13 17:33:07 UTC,16,27.60,9.50,74.4,134.4, 160,82.724205,22.367220,4065
2017-11-13 17:36:26 UTC,17,27.60,9.20,  80,106.6,138.8,82.724205,22.367220,4065
2017-11-13 17:37:56 UTC,18,27.20,9.00,88.8,106.6,114.4,82.724205,22.367220,4059
2017-11-13 17:39:26 UTC,19,27.30,9.00,  90,116.6,138.8,82.724205,22.367220,4065
2017-11-13 17:41:07 UTC,20,27.90,9.00,84.4,122.2,156.6,82.724205,22.367220,4065
2017-11-13 17:42:37 UTC,21,28.00,9.00, 100,128.8, 140,82.724205,22.367220,4065
2017-11-13 17:49:28 UTC,22,27.50,9.00,82.2,118.8,128.8,82.724205,22.367220,4065
2017-11-13 17:51:06 UTC,23,27.50,9.10,72.2,106.6,106.6,82.724205,22.367220,4065
2017-11-13 17:54:24 UTC,24,27.50,9.10,76.6,106.6,158.8,82.724205,22.367220,4065
2017-11-13 17:56:00 UTC,25,27.70,9.10,94.4,124.4,156.6,"","",4065
2017-11-13 17:57:30 UTC,26,28.20,8.90,74.4,98.8,106.6,82.724205,22.367220,4065
2017-11-13 17:59:00 UTC,27,27.50,8.70,  80,136.6,156.6,82.724205,22.367220,4065
2017-11-13 18:00:38 UTC,28,27.10,8.50,106.6,154.4,182.2,82.724205,22.367220,4065
2017-11-13 18:02:10 UTC,29,27.90,8.30,94.4,142.2,176.6,82.724205,22.367220,4065
2017-11-13 18:03:44 UTC,30,28.10,8.30,118.8, 160, 190,82.724205,22.367220,4065
2017-11-13 18:05:18 UTC,31,27.70,8.10,122.2,168.8,192.2,"
 CIPGSMLOC: 0",82.724205,4065
2017-11-13 18:06:49 UTC,32,27.30,8.00,154.4, 220,306.6,82.724205,22.367220,4065
2017-11-13 18:08:23 UTC,33,27.30,7.80,142.2,176.6,252.2,82.724205,22.367220,4065
2017-11-13 18:09:57 UTC,34,27.60,7.80, 120, 180, 200,"","",4065
2017-11-13 18:11:35 UTC,35,27.50,7.80,124.4,146.6,178.8,"","",4065
2017-11-13 18:13:17 UTC,36,27.90,7.70,136.6,158.8,158.8,"","",4065
2017-11-13 18:16:31 UTC,37,27.60,7.80,128.8,168.8,168.8,"","",4065
2017-11-13 18:18:11 UTC,38,27.30,7.90,124.4,174.4,234.4,82.724205,22.367220,4065
2017-11-13 18:19:48 UTC,39,27.90,8.10,104.4, 140,146.6,"","",4065
2017-11-13 18:21:25 UTC,40,28.00,8.20,114.4,182.2,202.2,82.724205,22.367220,4065
2017-11-13 18:23:06 UTC,41,28.00,8.20,126.6,184.4, 230,82.724205,22.367220,4065
2017-11-13 18:24:45 UTC,42,27.40,8.20,138.8,182.2,208.8,82.724205,22.367220,4065
2017-11-13 18:26:16 UTC,43,27.20,8.10,144.4,184.4,228.8,82.724205,22.367220,4065
2017-11-13 18:27:54 UTC,44,27.50,8.10,136.6,184.4,216.6,82.724205,22.367220,4065
2017-11-13 18:29:27 UTC,45,28.00,8.10,148.8,216.6, 260,82.724205,22.367220,4065
2017-11-14 09:01:05 UTC,46,30.80,17.90,96.6,118.8,118.8,82.724205,22.367220,3933
2017-11-14 09:09:38 UTC,47,31.90,15.30,74.4,104.4,132.2,82.724205,22.367220,3988
2017-11-14 09:12:46 UTC,48,32.10,14.70,66.6,108.8,142.2,82.724205,22.367220,3873
2017-11-14 09:17:49 UTC,49,31.90,14.10,72.2,92.2, 100,"
 CIPGSMLOC: 0",82.724205,3895
2017-11-14 09:19:27 UTC,50,32.10,14.00,  80,104.4,128.8,82.724205,22.367220,3972
2017-11-14 09:40:40 UTC,51,32.40,12.90,116.6,148.8,148.8,82.724205,22.367220,3835
2017-11-14 09:43:49 UTC,52,32.90,12.90,74.4, 110,136.6,82.724205,22.367220,3862
2017-11-14 09:46:56 UTC,53,32.10,12.60,  90,124.4,138.8,82.724205,22.367220,3944
2017-11-14 09:48:34 UTC,54,32.60,12.30,  90,106.6,146.6,82.724205,22.367220,3944
2017-11-14 10:34:48 UTC,55,32.10,14.00,  80,116.6,144.4,"","",3824
2017-11-14 10:56:01 UTC,56,31.60,14.90,92.2,118.8, 140,82.724205,22.367220,3824
2017-11-14 10:57:35 UTC,57,30.60,14.90,98.8,138.8,138.8,82.724205,22.367220,3818
2017-11-14 11:06:19 UTC,58,30.80,15.40,  90,114.4,152.2,82.724205,22.367220,3873
2017-11-14 11:07:56 UTC,59,30.70,15.60,96.6,112.2,112.2,"
 CIPGSMLOC: 0",82.724205,3769
2017-11-14 11:14:56 UTC,60,30.50,16.00,96.6,126.6,134.4,82.724205,22.367220,3856
2017-11-14 11:16:28 UTC,61,30.70,16.30,98.8,142.2,148.8,82.724205,22.367220,3785
2017-11-14 11:17:59 UTC,62,30.00,16.20,104.4,146.6,188.8,82.724205,22.367220,3780
2017-11-14 11:19:32 UTC,63,30.70,16.30,88.8,106.6, 150,82.724205,22.367220,3862
